dname1,dname2,date,value,unit
彰化縣,鴨,92,3764793,隻
彰化縣,鴨,93,4209971,隻
彰化縣,鴨,94,4105908.515,隻
彰化縣,鴨,95,4950302,隻
彰化縣,鴨,96,4755119,隻
彰化縣,鴨,97,4100836,隻
彰化縣,鴨,98,4100259,隻
彰化縣,鴨,99,4159421,隻
彰化縣,鴨,100,4362308,隻
彰化縣,鴨,101,4504828,隻
彰化縣,鴨,102,5146667,隻
彰化縣,鴨,103,5724477,隻
彰化縣,鵝,85,754000,隻
彰化縣,鵝,86,1031000,隻
彰化縣,鵝,87,1336000,隻
彰化縣,鵝,88,946000,隻
彰化縣,鵝,89,667582,隻
彰化縣,鵝,90,655693,隻
彰化縣,鵝,91,492309,隻
彰化縣,鵝,92,355471,隻
彰化縣,鵝,93,331964,隻
彰化縣,鵝,94,306510.248,隻
彰化縣,鵝,95,346968,隻
彰化縣,鵝,96,288393,隻
彰化縣,鵝,97,213279,隻
彰化縣,鵝,98,187550,隻
彰化縣,鵝,99,164333,隻
彰化縣,鵝,100,162862,隻
彰化縣,鵝,101,174156,隻
彰化縣,鵝,102,205469,隻
彰化縣,鵝,103,210161,隻
彰化縣,火雞,85,44000,隻
彰化縣,火雞,86,91000,隻
彰化縣,火雞,87,63000,隻
彰化縣,火雞,88,64557,隻
彰化縣,火雞,89,60899,隻
彰化縣,火雞,90,60400,隻
彰化縣,火雞,91,57550,隻
彰化縣,火雞,92,57401,隻
彰化縣,火雞,93,45954,隻
彰化縣,火雞,94,30674.7,隻
彰化縣,火雞,95,26520,隻
彰化縣,火雞,96,24802,隻
